Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Andalucía,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,"14380,273","7957,025","20461,183","37744,073","52112,325","42904,819","41749,905","31337,434","16661,616","7077,784","5086,692","15389,76"
Eólica,"867923,082","571513,82","650491,414","573289,909","634651,148","484786,443","664545,296","466962,449","409964,751","601517,864","505795,96","548063,802"
Solar fotovoltaica,"334472,199","365691,675","327020,37","530140,885","665598,545","663156,066","688356,459","649397,467","563696,672","431020,781","357684,706","288156,847"
Solar térmica,"76579,156","84646,083","46969,596","171967,44","274983,416","269109,78","321201,387","259570,025","195630,311","69652,749","49657,871","32448,776"
Otras renovables,"164619,789","149697,583","170776,315","158971,909","133665,524","145496,73","150502,142","142238,88","129655,682","127031,273","132610,238","105359,481"
Generación renovable,"1457974,4989999998","1179506,186","1215718,878","1472114,216","1761010,958","1605453,838","1866355,1890000002","1549506,255","1315609,0320000001","1236300,4510000001","1050835,4670000002","989418,666"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,Hidráulica: no incluye la generación bombeo.,,,,,,,,,,,
 ,"Otras renovables: incluyen biogás, biomasa, hidráulica marina y geotérmica.",,,,,,,,,,,
 ,Residuos renovables: el 50% de la generación procedente de residuos sólidos urbanos se considera renovable.,,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2022 - 30/06/2022,,,,,,,,,,,
 ,Provisional: 01/07/2022 - 31/12/2022,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,12/05/2023 - 12:11:19,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
